POSTAL_CODE,lat,lon,temp_change,precip_change,humidity_change,wind_change
1143,-37.8559856,145.0257339,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
1148,-34.30903000000001,150.902838,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
1151,-27.5038862,153.1025019,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
1152,-31.9493,115.8448,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
1160,-37.8563111,145.0259703,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
1175,-25.274398,133.775136,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
1191,-34.95599929999999,138.7446739,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
1215,-33.8650889,151.2077472,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
1225,-33.8639365,151.2093339,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
1355,-33.8889773,151.251105,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
1565,-37.7946416,144.9300203,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
1700,-25.274398,133.775136,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
1771,-37.5506492,143.8055487,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
1790,-25.274398,133.775136,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
1797,-33.7649075,150.7294679,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
1800,-37.90424600000001,145.164086,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
1805,-25.274398,133.775136,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
1825,-35.3271023,149.1824656,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
1826,-25.274398,133.775136,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
1830,-43.1458551,147.8505516,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
1831,-33.8783333,151.2052778,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
1835,-25.274398,133.775136,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
1851,-25.274398,133.775136,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
1860,-34.7244268,139.0672508,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
1871,-37.899,145.007,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
1875,-25.274398,133.775136,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
1885,-25.274398,133.775136,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
1888,-33.8726709,151.1970516,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
1890,-25.274398,133.775136,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
1891,-34.987591,138.592163,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
1902,-38.2679009,144.6611745,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2000,-33.8708464,151.20733,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2002,-25.274398,133.775136,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2007,-33.8771184,151.1952862,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2008,-33.8850259,151.1993383,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2010,-33.8777803,151.214711,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2011,-33.8743982,151.2189414,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2015,-33.9087629,151.197329,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2021,-33.8949661,151.2239998,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2022,-33.8956547,151.2495903,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2024,-33.9046399,151.2597927,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2026,-33.8922511,151.2714535,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2027,-33.87222879999999,151.2379312,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2028,-33.8788259,151.2437606,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2029,-33.8754209,151.265623,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2031,-33.9122447,151.2393885,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2032,-33.9279209,151.2306446,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2033,-33.9096151,151.2189869,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2034,-33.9236193,151.2539627,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2035,-33.942927,151.2393885,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2036,-33.9735997,151.2393885,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2037,-33.8802599,151.1840188,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2038,-33.8824062,151.1723645,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2039,-33.8661553,151.1738213,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2040,-33.8703546,151.1525215,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2041,-33.8583166,151.1781916,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2042,-33.8992314,151.1781916,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2043,-33.90236489999999,151.1854757,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2044,-33.921824,151.1665377,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2045,-33.87860879999999,151.1374068,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2046,-33.8566687,151.1315813,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2047,-33.8523805,151.1548847,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2048,-33.8920561,151.165081,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2049,-33.8932918,151.1548847,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2052,-33.916869,151.229916,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2058,-33.8915211,151.2502859,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2060,-33.8401473,151.20733,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2061,-33.8483957,151.2146155,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2062,-33.8228068,151.2146155,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2063,-33.8123999,151.2189869,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2064,-33.8086312,151.1840188,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2065,-33.8269489,151.195674,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2066,-33.8126017,151.1694511,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2067,-33.7969122,151.1781916,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2068,-33.7992003,151.20733,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2069,-33.7808794,151.195674,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2070,-33.7787851,151.1693413,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2071,-33.7632319,151.1665377,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2072,-33.7551473,151.1548847,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2073,-33.7627554,151.134494,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2074,-33.6867425,151.1577979,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2075,-33.7204426,151.1694511,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2076,-33.7085861,151.1228434,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2077,-33.6924088,151.0995447,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2079,-33.6709087,151.125756,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2081,-33.5769126,151.1694511,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2082,-33.5988104,151.134494,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2083,-33.5542808,151.2219013,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2084,-33.6363689,151.2219013,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2085,-33.7293236,151.2044159,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2086,-33.7473073,151.2248157,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2087,-33.773259,151.2160726,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2088,-33.8303776,151.2393885,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2089,-33.8379923,151.2189869,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2090,-33.8283272,151.2262729,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2092,-33.7927181,151.2423032,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2093,-33.8055737,151.2627078,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2094,-33.7940757,151.2729111,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2095,-33.8060158,151.2947775,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2096,-33.7738038,151.2889461,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2097,-33.734283,151.2947775,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2099,-33.7500081,151.2860306,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2100,-33.76459790000001,151.2627078,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2101,-33.6891976,151.2685382,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2102,-33.6881414,151.2947775,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2103,-33.6757024,151.3064407,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2104,-33.6610245,151.2889461,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2105,-33.6395909,151.290404,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2106,-33.6566564,151.3122727,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2107,-33.6357749,151.321021,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2108,-33.6298875,151.2976932,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2109,-33.77382370000001,151.1126498,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2110,-33.8274649,151.1374068,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2111,-33.8296098,151.125756,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2112,-33.807991,151.1111936,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2113,-33.7934648,151.134494,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2114,-33.8089747,151.0849848,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2115,-33.8132521,151.0616918,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2116,-33.8124093,151.0384023,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2117,-33.7973906,151.0296696,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2118,-33.7799114,151.0413133,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2119,-33.7551665,151.0646032,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2120,-33.7274311,151.0762495,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2121,-33.7716764,151.0791612,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2122,-33.7863691,151.0966326,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2125,-33.7462388,151.0296696,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2126,-33.72874669999999,151.0413133,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2127,-33.840308,151.0675147,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2128,-33.8343506,151.0442244,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2129,-33.863152,151.0718821,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2130,-33.8922971,151.1359504,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2131,-33.8904917,151.12548520000001,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2132,-33.8828873,151.114106,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2133,-33.89673450000001,151.1082813,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2134,-33.8799121,151.1024569,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2135,-33.8808808,151.0762495,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2136,-33.8929126,151.0733379,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2137,-33.8543494,151.1024569,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2138,-33.8462611,151.0908086,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2139,-33.8385096,151.0929926,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2140,-33.858623,151.0791612,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2141,-33.8719405,151.0413133,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2142,-33.8323277,151.006385,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2143,-33.8893965,151.0296696,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2144,-33.8485157,151.0296696,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2145,-33.8173961,150.9481887,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2146,-33.7915266,150.9569167,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2147,-33.7632936,150.9365521,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2148,-33.7849921,150.9016476,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2150,-33.8151823,151.0092954,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2151,-33.77395370000001,151.0180269,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2152,-33.7902573,150.9918338,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2153,-33.7613862,150.9889238,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2154,-33.7270691,150.9947439,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2155,-33.6880666,150.9423702,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2156,-33.6530868,150.9656452,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2157,-33.5420387,151.0122058,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2158,-33.6914284,151.0354914,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2159,-33.5876386,151.0704263,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2160,-33.8365794,150.9831038,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2161,-33.8570185,150.9831038,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2162,-33.883427,151.006385,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2163,-33.88436799999999,150.9801939,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2164,-33.8492918,150.9132815,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2165,-33.8702903,150.9452794,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2166,-33.8961316,150.9365521,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2167,-33.9690916,150.8929227,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2168,-33.9117729,150.8783824,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2170,-33.9477825,150.9190988,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2171,-33.9333763,150.8434913,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2172,-33.96456060000001,150.9743743,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2173,-34.0425826,150.9307341,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2174,-33.9651827,150.8580282,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2175,-33.848126,150.8493059,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2176,-33.8709405,150.8783824,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2177,-33.8946607,150.8812903,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2178,-33.8769426,150.8027952,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2179,-33.9549525,150.8086082,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2190,-33.90558,151.0529578,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2191,-33.9061117,151.0849848,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2192,-33.9178204,151.0908086,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2193,-33.909932,151.11993090000001,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2194,-33.91057840000001,151.1024569,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2195,-33.9235692,151.0733379,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2196,-33.92931310000001,151.0558691,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2197,-33.8990652,150.9976541,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2198,-33.9062913,150.9860137,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2199,-33.9050378,151.0209375,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2200,-33.9200458,151.0296696,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2203,-33.9041707,151.1374068,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2204,-33.9086291,151.1548847,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2205,-33.9378099,151.1490585,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2206,-33.9267511,151.125756,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2207,-33.9541086,151.1228434,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2208,-33.9379361,151.0995447,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2209,-33.9454921,151.0791612,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2210,-33.9566557,151.0529578,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2211,-33.9608964,151.0296696,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2212,-33.9495044,151.0151163,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2213,-33.9519315,150.9947439,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2214,-33.9405364,150.9801939,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2216,-33.9531396,151.1490585,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2217,-33.9757081,151.1374068,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2218,-33.9712426,151.11993090000001,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2219,-33.9946489,151.1315813,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2220,-33.9583688,151.0995447,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2221,-33.9919897,151.1111936,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2222,-33.9623045,151.0849848,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2223,-33.9830462,151.0762495,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2224,-34.0094315,151.0995447,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2225,-34.0016599,151.0791612,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2226,-34.0106901,151.0646032,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2227,-34.043981,151.0849848,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2228,-34.03825,151.1024569,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2229,-34.0460194,151.1228434,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2230,-34.0621862,151.1461455,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2231,-34.0194134,151.1985879,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2232,-34.0311029,151.0646032,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2233,-34.1193032,151.0704263,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2234,-34.0161592,151.006385,+10% to +25%,> -50% Change,flat to -10%,+10% to +25%
2250,-33.3502247,151.1869325,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2251,-33.4721323,151.38519,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2256,-33.5117779,151.2568777,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2257,-33.5220832,151.3385191,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2258,-33.3295763,151.3501856,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2259,-33.2059456,151.3501856,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2260,-33.4287117,151.4377107,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2261,-33.3603327,151.4318742,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2262,-33.2075583,151.5428026,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2263,-33.2504355,151.5077645,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2264,-33.1186851,151.4552213,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2265,-33.0641471,151.4435474,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2267,-33.0683359,151.5749274,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2278,-32.9351373,151.548643,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2280,-33.0223311,151.6713386,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2281,-33.1170985,151.6362736,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2282,-32.9648241,151.6479611,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2283,-33.050132,151.5953736,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2284,-32.9524472,151.6187438,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2285,-32.9110348,151.6187438,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2286,-32.8995067,151.5720067,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2287,-32.9018298,151.6654939,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2289,-32.9481404,151.7064109,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2290,-32.9754667,151.712257,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2291,-32.9497012,151.744414,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2292,-32.9225853,151.7341816,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2293,-32.9153665,151.7575709,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2294,-32.9123334,151.7663428,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2295,-32.8674273,151.7999723,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2296,-32.9125002,151.7458759,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2297,-32.9050024,151.7575709,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2298,-32.9025199,151.7210265,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2299,-32.9085765,151.7034879,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2300,-32.9272155,151.7795013,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2302,-32.92644610000001,151.7604948,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2303,-32.9252332,151.7502614,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2304,-32.877603,151.7356433,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
2305,-32.9274242,151.7064109,+10% to +25%,> -50% Change,flat to -10%,flat to +10%
